,adult,budget,id,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
45,FALSE,250000000,49026,en,20.58258,16/07/2012,1084939099,165,Released,The Dark Knight Rises,7.6,9263
46,FALSE,0,197723,en,0.002353,19/11/2001,0,0,Released,Lotte Reiniger: Homage to the Inventor of the Silhouette Film,0,0
47,FALSE,19000000,73191,en,1.418221,24/11/1993,2119994,93,Released,The Nutcracker,5.6,5
48,FALSE,0,393659,en,1.223986,04/06/2016,0,84,Released,Ms. Matched,6.2,8
49,FALSE,0,80105,es,0.96936,02/12/2011,0,106,Released,Fuga de cerebros 2,5.4,24
50,FALSE,0,45940,bn,0.278459,24/09/1971,0,110,Released,Company Limited,6.5,4
51,FALSE,0,215908,en,0.6151,09/09/2013,0,18,Released,Noah,7.8,9
52,FALSE,0,25953,en,0.330747,28/01/1950,0,59,Released,Radar Secret Service,2,1
53,FALSE,5000000,79935,en,1.362616,01/04/2012,0,89,Released,Fortress,5.2,14
54,FALSE,0,36919,en,0.118324,01/01/1981,0,88,Released,"Waiter, Scarper!",7,8
55,FALSE,0,92670,ja,0.017861,13/11/1971,0,129,Released,Silence,7.1,12
56,FALSE,0,31004,en,2.326119,17/02/1989,4557214,98,Released,The Mighty Quinn,5.8,25
57,FALSE,0,83831,en,0.000431,18/04/1973,0,96,Released,Charley-One-Eye,2.8,2
58,FALSE,0,283596,en,3.861768,24/07/2015,0,96,Released,The Legend of Barney Thomson,5.9,56
59,FALSE,0,86457,en,0.384612,27/11/1932,0,88,Released,Call Her Savage,3.5,2
60,FALSE,0,71204,en,1.004122,01/01/2001,0,95,Released,Tempted,4,4
61,FALSE,0,29741,en,0.767836,01/08/1959,0,76,Released,"Have Rocket, Will Travel",5.8,5
62,FALSE,0,118778,fr,0.405841,12/05/2010,0,90,Released,Sweet Evil,6,3
63,FALSE,0,81657,en,0.112945,01/01/2011,0,85,Released,The Redemption of General Butt Naked,7.3,3
64,FALSE,0,97284,en,0.001287,01/01/1998,0,60,Released,Film Ist.,0,0
65,FALSE,0,11658,ko,9.140411,05/02/2004,15,140,Released,Tae Guk Gi: The Brotherhood of War,7.4,134
66,FALSE,0,285803,hi,2.108695,15/08/2014,0,142,Released,Singham Returns,6,27
67,FALSE,0,9027,en,4.720788,21/08/2002,0,91,Released,The Guru,5.1,76
68,FALSE,500000,22021,en,3.029275,13/06/1973,0,91,Released,Coffy,7.2,58
69,FALSE,0,42482,en,0.0339,01/01/1972,0,93,Released,Elvis on Tour,7.1,6
70,FALSE,0,185564,en,0.531266,11/06/2011,0,85,Released,A Crush on You,6.4,5
71,FALSE,0,47947,en,1.768854,16/07/1982,30688860,96,Released,Young Doctors in Love,5.2,13
72,FALSE,2300000,264048,fi,0.366128,04/12/2013,0,97,Released,A Patriotic Man,6.5,2
73,FALSE,0,228339,el,1.244045,05/12/2013,0,160,Released,Little England,6.6,16
74,FALSE,0,215743,ko,4.333617,05/09/2013,2340,89,Released,Moebius,6.5,52
75,FALSE,0,50066,en,0.236065,12/10/1944,0,124,Released,Mrs. Parkington,6.6,4
76,FALSE,0,93892,en,0.141952,26/03/1961,0,101,Released,The Hoodlum Priest,2.5,2
77,FALSE,0,371942,it,0.128341,08/12/2015,0,NA,Released,Le nozze di Laura,1,1
78,FALSE,0,71051,en,0.649651,06/06/1982,0,95,Released,Sportloto-82,6.5,9
79,FALSE,0,61823,it,1.172612,31/01/1964,0,92,Released,The Ape Woman,8.2,5
80,FALSE,0,36460,en,0.627655,03/10/1980,0,106,Released,The Man With Bogart's Face,6,2
81,FALSE,0,6417,en,0.002954,02/02/2005,0,90,Released,Dallas Pashamende,0,0
82,FALSE,15000000,266856,en,11.85302,26/11/2014,123726688,123,Released,The Theory of Everything,7.8,3403
83,FALSE,0,449674,en,4.296455,04/04/2017,0,74,Released,Louis C.K. 2017,7.5,72
84,FALSE,0,9577,en,0.573479,09/02/2007,0,95,Released,To the Limit,6.8,3
85,FALSE,60000000,11808,en,8.462364,06/03/1998,102367405,131,Released,U.S. Marshals,6.2,383
86,FALSE,0,66997,en,0.579559,06/02/1937,0,8,Released,Magician Mickey,6.4,8
87,FALSE,5000000,10213,en,4.839043,30/10/1999,0,94,Released,From Dusk Till Dawn 3: The Hangman's Daughter,4.6,79
88,FALSE,0,48844,en,3.049589,12/10/2010,0,89,Released,The Search for Santa Paws,5.2,32
89,FALSE,25000,38065,en,1.112933,01/01/2006,0,80,Released,Salvage,4.4,8
90,FALSE,0,36968,en,6.648653,05/03/2000,0,101,Released,Life-Size,5.4,90
91,FALSE,0,271462,en,0.390652,14/06/2001,0,90,Released,Russian Doll,0,0
92,FALSE,0,314570,pt,0.121863,04/07/2014,0,91,Released,I Touched All Your Stuff,7,2
93,FALSE,0,159201,en,1.253125,20/09/2006,0,90,Released,Ozzie,5,2
94,FALSE,65000000,300168,zh,5.462048,19/02/2015,121545703,127,Released,Dragon Blade,5.9,146
95,FALSE,125000000,262841,en,14.801195,21/12/2016,64493915,105,Released,Monster Trucks,6,209
96,FALSE,0,30780,en,5.390929,01/02/2000,0,91,Released,Cabin By The Lake,5.5,13
97,FALSE,0,113217,en,0.301324,12/07/2000,0,93,Released,Out of Sync,0,0
98,FALSE,7000000,25598,en,7.218957,19/05/1991,191125,127,Released,The Indian Runner,6.2,23
99,FALSE,0,38054,ko,1.092424,01/01/2005,0,106,Released,Princess Aurora,5.4,15
100,FALSE,0,17612,en,6.236798,21/01/2001,0,103,Released,Lost and Delirious,6.8,132
101,FALSE,0,14336,en,1.558664,15/12/1977,0,95,Released,ABBA - The Movie,6.6,16
102,FALSE,0,76142,en,0.887268,05/05/2010,0,86,Released,Cameraman: The Life and Work of Jack Cardiff,7.4,9
103,FALSE,5000000,10497,en,11.298195,02/09/1992,1862805,139,Released,Bitter Moon,7,115
104,FALSE,0,56036,da,0.316017,23/09/2010,0,90,Released,Nothing's All Bad,7.8,4
105,FALSE,0,13726,fr,2.546955,03/10/2007,0,105,Released,A Secret,6.7,41
106,FALSE,0,45971,en,0.517539,03/06/1938,0,90,Released,You and Me,8.4,5
107,FALSE,0,8383,de,0.01549,31/08/1970,0,85,Released,Red Sun,6.5,5
108,FALSE,0,70804,xx,0.834679,25/04/1919,0,166,Released,J'accuse!,7.9,7
109,FALSE,0,394176,en,0.177976,26/04/2016,0,65,Released,Enter the Battlefield: Life on the Magic - The Gathering Pro Tour,6.5,4
110,FALSE,16000000,8467,en,9.844558,16/12/1994,247275374,107,Released,Dumb and Dumber,6.5,1894
111,FALSE,0,276729,en,1.082197,14/05/2014,0,104,Released,Heaven Adores You,6.8,12
112,FALSE,0,101740,ja,0.000498,11/09/1971,0,121,Released,Inn of Evil,0,0
113,FALSE,0,8333,en,7.762833,02/10/1974,0,104,Released,The Taking of Pelham One Two Three,7.6,109
114,FALSE,0,198130,fr,0.887637,05/06/2013,0,0,Released,Pop Redemption,6.3,22
115,FALSE,0,54986,ko,0.644469,29/01/2000,0,120,Released,Chunhyang,6.8,12
116,FALSE,0,61492,ja,0.324654,08/11/2003,0,112,Released,g@me.,6.1,4
117,FALSE,0,139692,ja,0.090233,27/03/1999,0,95,Released,Coquille,8.8,2
118,FALSE,0,49672,en,0.011542,18/04/2012,0,88,,Inside Hana's Suitcase,0,0
119,FALSE,0,378137,en,0.826674,05/02/2016,0,61,Released,Hannibal Buress: Comedy Camisado,7.1,15
120,FALSE,0,252189,en,0.985039,15/04/2014,0,90,Released,Camp Dread,4.6,8
121,FALSE,27000000,56288,en,9.580214,18/08/2011,85564310,89,Released,Spy Kids: All the Time in the World,4.4,228
122,FALSE,25000000,13491,sv,7.294411,17/12/2007,0,139,Released,Arn: The Knight Templar,6.4,78
123,FALSE,1500000,27723,en,3.898441,06/08/2000,0,95,Released,Psycho Beach Party,6,26
124,FALSE,9600000,300693,en,6.133745,12/09/2015,2541554,121,Released,Truth,6.5,165
125,FALSE,10000000,12779,en,3.492576,11/10/2002,598645,89,Released,Swept Away,4.8,52
126,FALSE,0,224972,en,1.250498,01/01/2015,0,88,Released,The Mask You Live In,8.7,21
127,FALSE,0,10118,en,4.581577,18/08/2006,11449638,97,Released,Material Girls,4.8,149
128,FALSE,1500000,10794,en,5.354787,04/04/1968,0,99,Released,The Party,7.3,160
129,FALSE,0,317384,fr,2.044591,18/09/2014,0,200,Released,Li'l Quinquin,7.9,16
130,FALSE,0,343977,en,0.917742,09/06/2015,0,73,Released,Tom and Jerry Spy Quest,5.8,6
131,FALSE,750000,321644,en,0.104105,16/10/2014,0,98,Released,Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,7,1
132,FALSE,0,289520,en,0.192214,20/09/2014,0,82,Released,Perfect on Paper,4,2
133,FALSE,1800000,10653,en,6.81733,01/06/1955,0,105,Released,The Seven Year Itch,7,184
134,FALSE,0,49689,he,1.046869,24/10/2002,0,87,Released,Broken Wings,6.8,13
135,FALSE,0,47774,en,0.199296,23/01/2001,0,46,Released,DJ Q.bert's Wave Twisters,7.1,4
136,FALSE,0,96477,en,0.000211,27/03/1975,0,95,Released,Killer Cop,0,0
137,FALSE,0,326253,nl,0.109654,28/01/2015,0,94,Released,Marry Me,6,2
138,FALSE,28000000,17834,en,3.354869,11/07/1997,8345056,86,Released,A Simple Wish,5.5,46
139,FALSE,0,59426,ru,0.553507,03/11/2010,0,74,Released,Zhit,6,7
140,FALSE,170000000,76338,en,34.905447,29/10/2013,644571402,112,Released,Thor: The Dark World,6.8,4873
141,FALSE,0,168057,sv,1.322312,26/12/2012,0,90,Released,The Fjällbacka Murders: In the Eye of the Beholder,5.4,7
142,FALSE,0,369665,en,0.147939,22/11/2015,0,64,Released,Trevor Noah: Lost In Translation,8,2
143,FALSE,0,22939,en,1.659001,11/03/2005,0,15,Released,Spider-Plant Man,5.5,12
144,FALSE,0,48845,en,0.892252,19/03/2009,0,85,Released,Soula Ela Xana,4.8,5
145,FALSE,700000,323967,en,1.950065,13/03/2015,0,87,Released,Walter,5.3,26
146,FALSE,0,85822,en,0.080017,03/08/2012,0,82,Released,Free Radicals: A History of Experimental Film,8,2
147,FALSE,0,83754,ko,1.174051,10/11/2011,0,110,Released,You Are My Pet,6.1,24
148,FALSE,900000,1694,en,9.867238,18/10/1985,2023414,86,Released,Re-Animator,7,263
149,FALSE,0,321030,en,1.070554,08/04/2016,0,98,Released,One More Time,5.9,16
150,FALSE,0,205943,en,1.135373,20/08/2013,0,1,Released,Severed Footage,3.3,3
151,FALSE,0,150191,fr,0.883343,23/09/1977,0,0,Released,I Am the Law,7.7,3
152,FALSE,0,85424,et,0.035346,01/01/1992,0,28,Released,Hotel E,5,1
153,FALSE,0,39973,it,1.917511,23/05/1978,0,99,Released,The Mountain of the Cannibal God,5.7,18
154,FALSE,0,251232,en,4.304458,03/10/2014,0,98,Released,Copenhagen,6.6,68
155,FALSE,145000000,56292,en,14.25843,07/12/2011,694713380,133,Released,Mission: Impossible - Ghost Protocol,6.8,4026
156,FALSE,0,148021,en,1.116528,27/09/1956,0,115,Released,Toward the Unknown,7,2
157,FALSE,0,59500,fi,0.939785,08/09/2006,0,110,Released,Jade Warrior,5.9,17
158,FALSE,0,156917,fi,0.001177,11/03/1960,0,0,Released,Pekka ja Pätkä neekereinä,0,0
159,FALSE,0,117506,cn,1.525108,21/06/2012,0,90,Released,Motorway,5.6,30
160,FALSE,3000000,12092,en,16.488937,03/07/1951,572000000,75,Released,Alice in Wonderland,7,1557
161,FALSE,12000000,314405,en,10.95023,14/05/2015,0,125,Released,Tale of Tales,6.1,403
162,FALSE,0,360551,ko,2.315594,05/11/2015,0,108,Released,The Priests,6.1,21
163,FALSE,0,61015,en,0.114274,31/07/2008,0,109,Released,"UltraMarathon Man: 50 Marathons, 50 States, 50 Days",5.5,2
164,FALSE,20000000,13596,en,14.114136,19/09/2008,36620508,101,Released,My Best Friend's Girl,5.4,223
165,FALSE,0,35964,tr,0.647691,18/11/2009,0,100,Released,Vavien,6.5,9
166,FALSE,0,106230,th,0.290354,04/03/2000,0,104,Released,The Iron Ladies,5.2,6
167,FALSE,11000000,1590,en,2.331416,10/09/2006,0,104,Released,Copying Beethoven,6.3,44
168,FALSE,0,115626,en,6.508145,16/07/2004,0,76,Released,Stuck in the Suburbs,5.2,40
169,FALSE,0,221148,en,0.457395,21/01/1958,0,103,Released,The Missouri Traveler,6,1
170,FALSE,0,26508,en,1.761241,01/11/1965,0,48,Released,The War Game,7.8,32
171,FALSE,0,75145,en,0.209787,22/08/1992,0,107,Released,Citizen Cohn,7.3,3
172,FALSE,0,185752,de,0.637846,15/03/1976,0,97,Released,Albino,4,2
173,FALSE,0,111732,en,0.730181,01/11/1950,0,85,Released,The Jackpot,5.5,4
174,FALSE,0,233805,it,1.282949,04/04/2009,0,0,Released,Bakhita,7,4
175,FALSE,0,214256,en,2.503486,19/10/2015,0,88,Released,AfterDeath,4.1,19
176,FALSE,0,16605,en,1.623367,19/06/2004,0,105,Released,Somersault,6.2,22
177,FALSE,0,33994,en,1.916908,12/09/2000,0,94,Released,ivans xtc.,5.2,7
178,FALSE,0,347762,en,3.443724,30/08/2015,0,81,Released,Most Likely to Die,4.2,46
179,FALSE,0,177203,en,5.236699,18/03/2013,0,90,Released,The Challenger,7.1,33
180,FALSE,0,32054,en,3.390491,03/09/1987,0,113,Released,Hope and Glory,6.5,44
181,FALSE,0,367053,en,0.002001,,0,88,Released,Friends and Romans,6,1
182,FALSE,0,35166,ro,0.165803,05/01/1968,0,100,Released,The Reenactment,5,4
183,FALSE,0,26469,en,0.172431,10/03/2007,0,86,Released,Skills Like This,6,3
184,FALSE,0,180891,ja,1.633896,01/06/2013,0,127,Released,Real,5.8,21
185,FALSE,0,31936,es,1.019564,04/04/1953,0,78,Released,Welcome Mr. Marshall!,6.9,18
186,FALSE,0,24084,en,0.505579,01/01/1972,0,114,Released,The Adventures of Barry McKenzie,6.2,5
187,FALSE,0,38505,fr,1.510005,18/08/1993,0,104,Released,"One, Two, Three, Sun",5.6,4
188,FALSE,0,14645,fr,5.870932,25/08/1982,0,88,Released,Santa Claus Is a Stinker,7.4,203
189,FALSE,85000000,7484,en,11.744242,29/09/2006,197309027,83,Released,Open Season,6.1,676
190,FALSE,0,168379,es,1.298,27/11/2012,0,114,Released,Blue and Not So Pink,7.6,25
191,FALSE,0,58820,it,0.439807,22/10/2007,0,73,Released,The Beckoning Silence,6.7,10
192,FALSE,0,420481,ru,0.041267,10/04/2010,0,NA,Released,Путь к себе,7,1
193,FALSE,0,259997,en,0.417909,09/05/2014,0,97,Released,Such Good People,5,3
194,FALSE,0,25549,en,1.527971,02/05/1953,0,85,Released,Split Second,5.7,6
195,FALSE,0,24791,en,0.001715,01/01/1998,0,136,Released,A,0,0
196,FALSE,0,82430,en,3.730289,08/07/1979,0,98,Released,Arabian Adventure,5.8,8
197,FALSE,0,62503,en,0.167343,11/11/2010,0,93,Released,Almost Kings,10,2
198,FALSE,0,19597,fr,7.943677,03/07/2009,0,100,Released,The Hedgehog,7,80
199,FALSE,0,74295,fi,1.473622,02/12/1983,0,93,Released,Crime and Punishment,5.9,19
200,FALSE,0,85312,en,0.173956,11/03/2011,0,90,Released,Making the Boys,0,1
201,FALSE,0,208982,en,0.326621,08/11/2011,0,250,Released,Vietnam in HD,8.1,6
202,FALSE,0,25405,en,2.804378,21/09/2009,0,77,Released,Taking Chance,6.8,31
203,FALSE,0,200918,en,1.394295,27/09/2013,0,91,Released,The Secret Lives of Dorks,4.8,9
204,FALSE,4500000,53157,en,4.476443,06/10/1985,0,102,Released,The Park is Mine,5,16
205,FALSE,0,37306,en,0.533343,04/06/2006,0,89,Released,Voodoo Moon,4.3,2
206,FALSE,0,57840,en,2.033395,24/04/1936,0,77,Released,Captain January,7,9
207,FALSE,0,169069,it,1.229133,06/02/2013,0,0,Released,Studio illegale,4.3,9
208,FALSE,0,1875,fr,5.45311,16/03/1967,0,104,Released,Fantomas vs. Scotland Yard,6.9,83
209,FALSE,0,54735,en,0.668264,11/05/2010,0,53,Released,Straight Outta LA,4.7,6
210,FALSE,0,12580,ja,2.482068,21/08/2004,0,128,Released,Izo,6.1,25
211,FALSE,0,52049,en,0.571607,01/09/2000,0,100,Released,Comedy of Innocence,5,2
212,FALSE,0,394260,it,2.830792,10/11/2016,0,131,Released,Sweet Dreams,6.8,37
213,FALSE,35000000,9311,en,3.132331,13/02/1997,0,121,Released,Smilla's Sense of Snow,6.6,61
214,FALSE,5000000,11826,en,5.819673,13/09/2000,0,89,Released,Sexy Beast,7,219
215,FALSE,0,244610,en,7.752544,12/12/2013,0,81,Released,The Den,6.2,123
216,FALSE,3000000,1362,en,16.425868,27/11/1977,0,77,Released,The Hobbit,6,76
217,FALSE,0,29140,nl,3.034972,23/03/1983,0,102,Released,The Fourth Man,6.8,32
218,FALSE,0,62978,fr,0.187435,27/10/1971,0,125,Released,The Salamander,7.4,5
219,FALSE,0,42416,it,0.148651,01/01/1984,0,0,Rumored,Arrapaho,4.5,4
220,FALSE,0,75803,en,0.331212,27/09/2011,0,105,Released,Catching Hell,6.6,9
221,FALSE,0,38807,en,0.623176,04/01/1946,0,97,Released,Badman's Territory,6,2
222,FALSE,0,30665,en,0.574034,25/08/1948,0,109,Released,Tap Roots,6.3,2
223,FALSE,0,41166,en,0.637248,20/09/1985,0,124,Released,Plenty,5.9,8
224,FALSE,7000000,11503,en,7.791952,05/02/1988,19595031,98,Released,The Serpent and the Rainbow,6.2,120
225,FALSE,4000000,36784,nl,4.443755,26/11/2009,0,105,Released,Stricken,5.8,19
226,FALSE,0,138376,en,8.73819,29/11/2012,5750,106,Released,A Dark Truth,5.3,35
227,FALSE,0,68635,en,1.055272,17/03/1978,0,75,Released,Women in Cellblock 9,5.3,6
228,FALSE,20000000,14873,en,10.605851,07/02/2003,135680000,72,Released,The Jungle Book 2,5.6,278
229,FALSE,0,3109,en,8.762386,21/07/1952,0,129,Released,The Quiet Man,7.3,118
230,FALSE,0,293572,en,6.034967,10/10/2014,0,91,Released,The Houses October Built,5.5,97
231,FALSE,0,29609,en,0.431908,01/01/1941,0,85,Released,The Ghost Train,6,9
232,FALSE,2000000,22984,en,1.653741,24/06/1979,0,101,Released,The Kids Are Alright,6.9,7
233,FALSE,0,124517,ja,0.300704,01/01/1966,0,40,Released,Emotion,6.6,8
234,FALSE,0,55534,en,3.599103,28/12/2003,0,174,Released,Dreamkeeper,6,9
235,FALSE,16000000,38560,en,1.835663,29/04/1988,4594452,102,Released,Sunset,5.6,15
236,FALSE,0,20994,ru,1.76146,26/05/2005,0,111,Released,Blind Man's Bluff,6.6,20
237,FALSE,0,57573,en,0.252693,19/02/2011,0,65,Released,Craig Ferguson: Does This Need to Be Said?,7,5
238,FALSE,0,418047,en,0.082059,14/01/2010,0,60,Released,The Secret Life of Chaos,6.5,2
239,FALSE,0,38472,en,0.603541,30/11/1946,0,62,Released,The Trap,6.9,6
240,FALSE,7400000,14395,hi,2.37252,11/08/2006,17000000,193,Released,Kabhi Alvida Naa Kehna,6.1,45
241,FALSE,0,87489,en,0.783454,21/06/1985,0,91,Released,Document of the Dead,7.8,6
242,FALSE,0,86983,sv,0.635034,21/10/2011,0,95,Released,Stockholm East,6,2
243,FALSE,0,37545,en,0.106567,01/01/1971,0,79,Released,Morning of the Earth,6.5,3
244,FALSE,0,9264,en,6.901684,08/05/1992,0,93,Released,Poison Ivy,5.2,85
245,FALSE,6000000,1496,en,2.329486,18/10/1991,1193062,91,Released,Cool as Ice,4.7,27
246,FALSE,0,112485,en,0.189059,26/03/1916,0,65,Released,Hoodoo Ann,5.3,3
247,FALSE,390000,237214,en,0.016219,19/07/2014,3,148,Released,Duniyadari,0,0
248,FALSE,0,67174,tl,0.236331,25/12/2005,0,106,Released,Exodus: Tales from the Enchanted Kingdom,3.5,2
249,FALSE,6000000,21115,ko,2.145287,12/08/2004,0,120,Released,Fighter In The Wind,6.7,25
250,FALSE,0,318553,en,1.798216,23/12/2014,0,88,Released,Sugar Daddies,4.8,11
251,FALSE,1250000,1643,fr,12.74564,14/10/1972,36144000,129,Released,Last Tango in Paris,7.1,240
252,FALSE,12000,56500,sv,1.289488,25/03/1968,0,100,Released,They Call Us Misfits,6.4,8
253,FALSE,0,42566,en,2.28638,14/08/1981,7496681,106,Released,An Eye for an Eye,5.5,24
254,FALSE,0,381691,ml,0.656226,05/02/2016,230000,121,Released,Maheshinte Prathikaaram,7.7,9
255,FALSE,0,20813,en,3.568628,27/04/1979,0,108,Released,A Little Romance,7.5,11
256,FALSE,0,48466,en,4.739649,28/10/2010,0,21,Released,Scared Shrekless,6.3,80
257,FALSE,9600000,9700,en,2.637004,03/09/2005,4386236,144,Released,The Lost City,5.9,25
258,FALSE,53000000,9054,en,2.289647,30/05/1997,0,94,Released,Gone Fishin',4.7,48
259,FALSE,350000,764,en,10.421679,15/10/1981,29400000,85,Released,The Evil Dead,7.3,913
260,FALSE,70000000,9882,en,9.019114,06/11/1998,116672912,116,Released,The Siege,6.1,361
261,FALSE,52000000,32856,en,7.466721,10/02/2010,216485654,125,Released,Valentine's Day,5.7,1043
262,FALSE,0,441652,en,0,26/11/1985,0,79,Released,Final Offer,0,0
263,FALSE,0,10542,de,4.67538,02/08/1996,0,107,Released,Killer Condom,5.7,23
264,FALSE,0,36758,en,4.13905,18/10/1996,3692836,144,Released,The Portrait of a Lady,6.3,46
265,FALSE,0,269576,sr,0.159785,09/04/2014,0,94,Released,From Zero to Hero,6,1
266,FALSE,0,19963,fr,3.144046,27/11/1996,0,87,Released,Bernie,7.2,47
267,FALSE,0,59424,nl,0.985211,27/01/2011,0,130,Released,Sonny Boy,6,18
268,FALSE,0,53871,en,0.328167,13/04/2006,0,135,Released,Glastonbury,6.1,4
269,FALSE,0,150108,hi,0.60467,01/01/1957,0,144,Released,Travel Beyond the Three Seas,7.3,3
270,FALSE,0,268092,en,1.648427,04/10/2013,0,66,Released,Transformers Prime Beast Hunters: Predacons Rising,6.7,5
271,FALSE,0,413391,en,1.475321,09/03/2017,123899,96,Released,A Few Less Men,5.2,11
272,FALSE,50000000,9624,en,6.678661,18/02/1994,49000000,102,Released,On Deadly Ground,4.6,109
273,FALSE,0,18620,en,0.775898,10/06/1994,0,83,Released,Go Fish,3.9,5
274,FALSE,37000000,312221,en,33.449723,25/11/2015,173567581,133,Released,Creed,7.3,1963
275,FALSE,0,136070,ja,1.045343,09/10/2010,0,97,Released,Vengeance Can Wait,6.7,5
276,FALSE,0,345888,ko,0.929163,09/07/2015,0,107,Released,The Piper,6.8,10
277,FALSE,0,154663,en,0.849542,17/09/2010,0,85,Released,The Happy Poet,6.5,4
278,FALSE,0,15719,en,6.608293,04/11/1999,0,94,Released,Do Not Disturb,5,9
279,FALSE,0,95743,en,0.002789,29/07/1994,0,90,Released,Foreign Student,0,0
280,FALSE,0,16270,en,11.718412,29/03/1991,0,83,Released,Career Opportunities,5.9,46
281,FALSE,0,81633,ja,0.157878,24/10/2010,0,96,Released,Hospitalité,6.3,3
282,FALSE,0,134680,en,0.007877,05/02/2011,60,60,Rumored,Billy Gardell: Halftime,0,0
283,FALSE,0,371449,en,3.069108,09/09/2016,93000,97,Released,Other People,6.7,58
284,FALSE,0,238398,en,0.428953,23/03/2014,0,90,Released,Grantham and Rose,6.8,4
285,FALSE,0,382589,fr,6.677459,15/02/2017,0,123,Released,Rock'n Roll,5.4,194
286,FALSE,0,17614,he,1.948701,28/08/2002,0,65,Released,Yossi & Jagger,6.7,28
